Node_Index,Min_Distance_to_Original,Mean_Distance_to_Original,Max_Distance_to_Original,Min_Distance_to_Generated,Mean_Distance_to_Generated,Novelty_Score,Is_Novel
79,0.0004391670227050781,0.028210751712322235,0.2881472110748291,3.904104232788086e-05,inf,0.5845048427581787,True
80,0.0018478631973266602,0.027854744344949722,0.31463754177093506,0.0001412034034729004,inf,2.4593944549560547,True
81,0.00010979175567626953,0.027059132233262062,0.30252909660339355,6.604194641113281e-05,inf,0.14612621068954468,False
82,0.0005983114242553711,0.02783186361193657,0.29623496532440186,0.0001156926155090332,inf,0.796316385269165,True
83,0.000415802001953125,0.028209809213876724,0.2872238755226135,4.00543212890625e-05,inf,0.5534073710441589,True
84,0.0003383755683898926,0.027660418301820755,0.2932735085487366,4.00543212890625e-05,inf,0.45035746693611145,True
85,0.0028315186500549316,0.029588915407657623,0.31606757640838623,0.00028145313262939453,inf,3.768580436706543,True
86,7.528066635131836e-05,0.02864021621644497,0.2790778875350952,0.00033080577850341797,inf,0.10019402951002121,False
87,0.0006188750267028809,0.027109207585453987,0.3047477602958679,3.93986701965332e-05,inf,0.823685348033905,True
88,0.00016480684280395508,0.026315094903111458,0.31214815378189087,1.4781951904296875e-05,inf,0.2193479686975479,False
89,0.00032132863998413086,0.02630087360739708,0.3267933130264282,9.828805923461914e-05,inf,0.42766904830932617,True
90,6.246566772460938e-05,0.026088247075676918,0.3162689208984375,0.00041222572326660156,inf,0.08313803374767303,False
91,0.0003402233123779297,0.02644267864525318,0.31267356872558594,2.4437904357910156e-05,inf,0.4528166949748993,True
92,0.0005500316619873047,0.027906380593776703,0.2943861484527588,7.301568984985352e-05,inf,0.7320589423179626,True
93,0.0009853839874267578,0.027771638706326485,0.30217278003692627,9.876489639282227e-05,inf,1.3114866018295288,True
94,0.0008753538131713867,0.027132000774145126,0.3148813843727112,7.134675979614258e-05,inf,1.1650431156158447,True
95,0.0018939971923828125,0.02803407795727253,0.3237050175666809,0.00015491247177124023,inf,2.520796060562134,True
